,time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2
179,2020-11-23 11:09:59.224746-05:00,18.92,9940,18.93,7500,13.75,2224,13.76,1406
180,2020-11-23 11:10:09.241971-05:00,18.92,9220,18.93,7040,13.75,1919,13.76,1534
181,2020-11-23 11:10:19.259834-05:00,18.92,9223,18.93,7059,13.75,1777,13.76,1523
182,2020-11-23 11:10:29.239076-05:00,18.92,9187,18.93,7094,13.75,1671,13.76,1984
183,2020-11-23 11:10:39.259645-05:00,18.92,9660,18.93,6994,13.75,2591,13.76,1278
184,2020-11-23 11:10:49.281096-05:00,18.92,9136,18.93,7043,13.75,1719,13.76,1652
185,2020-11-23 11:10:59.046917-05:00,18.92,7453,18.93,10615,13.75,1342,13.76,2164
186,2020-11-23 11:11:09.066498-05:00,18.92,8822,18.93,7698,13.75,1511,13.76,2052
187,2020-11-23 11:11:18.123213-05:00,18.92,8348,18.93,7740,13.75,1511,13.76,2052
188,2020-11-23 11:11:18.123213-05:00,18.92,8348,18.93,7740,13.75,1500,13.76,2052
189,2020-11-23 11:11:29.106567-05:00,18.92,9186,18.93,6813,13.75,1669,13.76,1603
190,2020-11-23 11:11:39.125200-05:00,18.92,9053,18.93,6799,13.75,1731,13.76,1434
191,2020-11-23 11:11:43.131891-05:00,18.92,9053,18.93,6799,13.75,1726,13.76,1434
192,2020-11-23 11:11:49.144115-05:00,18.92,9193,18.93,6837,13.75,1726,13.76,1434
193,2020-11-23 11:11:59.162769-05:00,18.92,9724,18.93,6731,13.75,2631,13.76,1192
194,2020-11-23 11:12:09.181447-05:00,18.92,9791,18.93,5287,13.75,2649,13.76,690
195,2020-11-23 11:12:19.200335-05:00,18.92,9746,18.93,5345,13.75,2649,13.76,737
196,2020-11-23 11:12:28.216205-05:00,18.92,9667,18.93,5637,13.75,2649,13.76,737
197,2020-11-23 11:12:28.216205-05:00,18.92,9667,18.93,5637,13.75,2650,13.76,1212
198,2020-11-23 11:12:39.239030-05:00,18.92,9718,18.93,5509,13.75,2671,13.76,924
199,2020-11-23 11:12:49.257264-05:00,18.92,8896,18.93,6586,13.75,1622,13.76,2010
200,2020-11-23 11:12:59.276792-05:00,18.92,9377,18.93,5882,13.75,1655,13.76,1566
201,2020-11-23 11:13:09.294830-05:00,18.92,9709,18.93,5772,13.75,2352,13.76,1331
202,2020-11-23 11:13:19.063350-05:00,18.92,9663,18.93,5879,13.75,2335,13.76,1310
203,2020-11-23 11:13:29.082688-05:00,18.92,9694,18.93,5882,13.75,2097,13.76,1317
204,2020-11-23 11:13:39.102597-05:00,18.92,9284,18.93,5914,13.75,1665,13.76,1403
205,2020-11-23 11:13:49.124500-05:00,18.92,9812,18.93,5681,13.75,2482,13.76,820
206,2020-11-23 11:13:59.139384-05:00,18.92,9661,18.93,5881,13.75,2396,13.76,1322
207,2020-11-23 11:14:09.157881-05:00,18.92,9694,18.93,3837,13.75,2462,13.76,628
208,2020-11-23 11:14:19.176760-05:00,18.92,9709,18.93,5464,13.75,2463,13.76,809
209,2020-11-23 11:14:29.207055-05:00,18.92,9700,18.93,5396,13.75,2463,13.76,766
210,2020-11-23 11:14:29.207055-05:00,18.92,9700,18.93,5396,13.75,2769,13.76,597
211,2020-11-23 11:14:39.216280-05:00,18.92,10253,18.93,1842,13.75,2769,13.76,597
