time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2,mid1,mid2,residuals,imb1,imb2,residual_later,mid1_later,mid2_later,imb1_later,imb2_later,pnl,mid1_diff,mid2_diff,residual_bucket,imb1_bucket,imb2_bucket,avg_pnl,G1_It,G2_It,dM1,dM2,residual_bucket_later,imb1_bucket_later,imb2_bucket_later,current_state,later_state,micro1_adj,micro2_adj,micro1,micro2
2020-11-23 15:45:59.166109+00:00,18.96,9802,18.97,6355,13.81,2022,13.82,1104,18.965,13.815,-0.003589281722419457,0.6066720306987683,0.6468330134357005,-0.003589281722419457,18.965,13.815,0.6059500247402276,0.5667859272510435,0.0,0.0,0.0,1,1,1,0.0017378263349258599,0.0,0.0,0,0,1,1,1,111,11100,0.0024932832384759185,-0.004488131640785332,18.967493283238475,13.810511868359214
2020-11-23 15:46:09.184959+00:00,18.96,9797,18.97,6371,13.81,1901,13.82,1453,18.965,13.815,-0.003589281722419457,0.6059500247402276,0.5667859272510435,-0.003589281722419457,18.965,13.815,0.4700393722021466,0.3111876075731497,0.0,0.0,0.0,1,1,1,0.0017378263349258599,0.0,0.0,0,0,1,1,0,111,11000,0.0024932832384759185,-0.004488131640785332,18.967493283238475,13.810511868359214
2020-11-23 15:46:19.203549+00:00,18.96,8715,18.97,9826,13.81,904,13.82,2001,18.965,13.815,-0.003589281722419457,0.4700393722021466,0.3111876075731497,-0.003589281722419457,18.965,13.815,0.4043336058871627,0.21410488245931286,0.0,0.0,0.0,1,1,0,0.0017378263349258599,0.0,-0.00250980392156869,0,0,1,1,0,110,11000,0.0008926711225372864,-0.006275252314918811,18.965892671122536,13.80872474768508
2020-11-23 15:46:29.220915+00:00,18.96,6923,18.97,10199,13.81,592,13.82,2173,18.965,13.815,-0.003589281722419457,0.4043336058871627,0.21410488245931286,-0.003589281722419457,18.965,13.815,0.6068138255116552,0.5308144936512852,0.0,0.0,0.0,1,1,0,0.0017378263349258599,0.0,-0.00250980392156869,0,0,1,1,1,110,11100,0.0008926711225372864,-0.006275252314918811,18.965892671122536,13.80872474768508
2020-11-23 15:46:39.237247+00:00,18.96,9814,18.97,6359,13.81,1714,13.82,1515,18.965,13.815,-0.003589281722419457,0.6068138255116552,0.5308144936512852,-0.003589281722419457,18.965,13.815,0.6075941526263627,0.5508341202392194,0.0,0.0,0.0,1,1,1,0.0017378263349258599,0.0,0.0,0,0,1,1,1,111,11100,0.0024932832384759185,-0.004488131640785332,18.967493283238475,13.810511868359214
2020-11-23 15:46:49.256205+00:00,18.96,9809,18.97,6335,13.81,1750,13.82,1427,18.965,13.815,-0.003589281722419457,0.6075941526263627,0.5508341202392194,-0.003589281722419457,18.965,13.815,0.4013192458116864,0.2492328673712922,0.0,0.0,0.0,1,1,1,0.0017378263349258599,0.0,0.0,0,0,1,1,0,111,11000,0.0024932832384759185,-0.004488131640785332,18.967493283238475,13.810511868359214
2020-11-23 15:46:59.273162+00:00,18.96,6875,18.97,10256,13.81,731,13.82,2202,18.965,13.815,-0.003589281722419457,0.4013192458116864,0.2492328673712922,-0.003589281722419457,18.965,13.815,0.580856234810245,0.4624624624624625,0.0,0.0,0.0,1,1,0,0.0017378263349258599,0.0,-0.00250980392156869,0,0,1,1,1,110,11100,0.0008926711225372864,-0.006275252314918811,18.965892671122536,13.80872474768508
2020-11-23 15:47:09.288758+00:00,18.96,9321,18.97,6726,13.81,1694,13.82,1969,18.965,13.815,-0.003589281722419457,0.580856234810245,0.4624624624624625,-0.003589281722419457,18.965,13.815,0.6007614054796231,0.5144945188794153,0.0,0.0,0.0,1,1,1,0.0017378263349258599,0.0,0.0,0,0,1,1,1,111,11100,0.0024932832384759185,-0.004488131640785332,18.967493283238475,13.810511868359214
2020-11-23 15:47:09.288758+00:00,18.96,9321,18.97,6726,13.8,2825,13.81,797,18.965,13.805,0.0032860324675674235,0.580856234810245,0.7799558255107676,-0.003589281722419457,18.965,13.815,0.6007614054796231,0.5144945188794153,-0.006875314189986881,0.0,0.010000000000001565,4,1,2,-0.0017378263349258599,0.0,0.00250980392156869,0,1,1,1,1,412,11101,-0.0008926711225372907,0.006275252314918815,18.964107328877464,13.81127525231492
2020-11-23 15:47:19.057312+00:00,18.96,6283,18.97,10920,13.8,2825,13.81,797,18.965,13.805,0.0032860324675674235,0.3652269952915189,0.7799558255107676,-0.003589281722419457,18.965,13.815,0.6007614054796231,0.5144945188794153,-0.006875314189986881,0.0,0.010000000000001565,4,1,2,-0.0017378263349258599,0.0,0.00250980392156869,0,1,1,1,1,412,11101,-0.0008926711225372907,0.006275252314918815,18.964107328877464,13.81127525231492
